"filename", "language", "SCSS", "JavaScript", "PHP", "HTML", "JSON", "vue", "Markdown", "CSS", "Makefile", "Shell Script", "YAML", "Less", "Ignore", "CoffeeScript", "XML", "comment", "blank", "total"
"c:\laragon\www\telexperticia\.idea\commandlinetools\Laravel_12_3_21_22_03.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3368, 0, 2, 3370
"c:\laragon\www\telexperticia\.idea\commandlinetools\schemas\frameworkDescriptionVersion1.1.4.xsd", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 1, 48
"c:\laragon\www\telexperticia\.idea\juntas_medicas.iml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 129, 0, 0, 129
"c:\laragon\www\telexperticia\.idea\laravel-plugin.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 6
"c:\laragon\www\telexperticia\.idea\modules.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 8
"c:\laragon\www\telexperticia\.idea\php.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 128, 0, 0, 128
"c:\laragon\www\telexperticia\.idea\phpunit.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 10
"c:\laragon\www\telexperticia\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 6
"c:\laragon\www\telexperticia\.styleci.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
"c:\laragon\www\telexperticia\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 79
"c:\laragon\www\telexperticia\app\Actions\Fortify\CreateNewUser.php", "PHP", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 44
"c:\laragon\www\telexperticia\app\Actions\Fortify\PasswordValidationRules.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 19
"c:\laragon\www\telexperticia\app\Actions\Fortify\ResetUserPassword.php", "PHP", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 31
"c:\laragon\www\telexperticia\app\Actions\Fortify\UpdateUserPassword.php", "PHP", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 36
"c:\laragon\www\telexperticia\app\Actions\Fortify\UpdateUserProfileInformation.php", "PHP", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 8, 62
"c:\laragon\www\telexperticia\app\Console\Kernel.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 7, 42
"c:\laragon\www\telexperticia\app\Exceptions\Handler.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 6, 42
"c:\laragon\www\telexperticia\app\Http\Controllers\ActiveController.php", "PHP", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 35
"c:\laragon\www\telexperticia\app\Http\Controllers\Api\AuthController.php", "PHP", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 37
"c:\laragon\www\telexperticia\app\Http\Controllers\Api\PermissionController.php", "PHP", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 21, 94
"c:\laragon\www\telexperticia\app\Http\Controllers\Api\RoleController.php", "PHP", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 21, 94
"c:\laragon\www\telexperticia\app\Http\Controllers\Controller.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\laragon\www\telexperticia\app\Http\Controllers\DoctorController.php", "PHP", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 20, 125
"c:\laragon\www\telexperticia\app\Http\Controllers\GeneralSettingController.php", "PHP", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 56
"c:\laragon\www\telexperticia\app\Http\Controllers\GroupParameterController.php", "PHP", 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 14, 124
"c:\laragon\www\telexperticia\app\Http\Controllers\HomeController.php", "PHP", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 10, 84
"c:\laragon\www\telexperticia\app\Http\Controllers\MedicalBoardController.php", "PHP", 0, 0, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 51, 330
