"filename", "language", "PHP", "comment", "blank", "total"
"c:\laragon\www\telexperticia\database\factories\DoctorFactory.php", "PHP", 20, 11, 5, 36
"c:\laragon\www\telexperticia\database\factories\MedicalBoardFactory.php", "PHP", 19, 10, 5, 34
"c:\laragon\www\telexperticia\database\factories\PatientFactory.php", "PHP", 24, 11, 5, 40
"c:\laragon\www\telexperticia\database\factories\ReportFactory.php", "PHP", 19, 10, 5, 34
"c:\laragon\www\telexperticia\database\factories\SpecialtyFactory.php", "PHP", 15, 10, 5, 30
"c:\laragon\www\telexperticia\database\factories\UserFactory.php", "PHP", 19, 10, 5, 34
"c:\laragon\www\telexperticia\database\migrations\2014_10_12_100000_create_password_resets_table.php", "PHP", 19, 10, 4, 33
"c:\laragon\www\telexperticia\database\migrations\2014_10_12_200000_add_two_factor_columns_to_users_table.php", "PHP", 24, 10, 5, 39
"c:\laragon\www\telexperticia\database\migrations\2019_08_19_000000_create_failed_jobs_table.php", "PHP", 23, 10, 4, 37
"c:\laragon\www\telexperticia\database\migrations\2019_12_14_000001_create_personal_access_tokens_table.php", "PHP", 23, 10, 4, 37
"c:\laragon\www\telexperticia\database\migrations\2020_04_25_000000_create_general_settings_table.php", "PHP", 21, 10, 4, 35
"c:\laragon\www\telexperticia\database\migrations\2020_07_25_000000_create_zoom_meeting_table.php", "PHP", 30, 10, 5, 45
"c:\laragon\www\telexperticia\database\migrations\2021_03_12_000001_create_users_table.php", "PHP", 30, 10, 4, 44
"c:\laragon\www\telexperticia\database\migrations\2021_03_12_000002_create_doctors_table.php", "PHP", 24, 10, 4, 38
"c:\laragon\www\telexperticia\database\migrations\2021_03_12_000003_create_patients_table.php", "PHP", 28, 10, 4, 42
"c:\laragon\www\telexperticia\database\migrations\2021_03_12_000003_create_specialties_table.php", "PHP", 21, 10, 4, 35
"c:\laragon\www\telexperticia\database\migrations\2021_03_12_000004_create_medical_boards_table.php", "PHP", 24, 10, 4, 38
"c:\laragon\www\telexperticia\database\migrations\2021_03_12_000005_create_reports_table.php", "PHP", 23, 10, 4, 37
"c:\laragon\www\telexperticia\database\migrations\2021_03_12_000006_create_doctor_medical_board_table.php", "PHP", 19, 10, 4, 33
"c:\laragon\www\telexperticia\database\migrations\2021_03_12_000007_add_foreigns_to_doctors_table.php", "PHP", 27, 10, 4, 41
"c:\laragon\www\telexperticia\database\migrations\2021_03_12_000008_add_foreigns_to_patients_table.php", "PHP", 22, 10, 4, 36
"c:\laragon\www\telexperticia\database\migrations\2021_03_12_000009_add_foreigns_to_medical_boards_table.php", "PHP", 26, 10, 4, 40
"c:\laragon\www\telexperticia\database\migrations\2021_03_12_000010_add_foreigns_to_reports_table.php", "PHP", 22, 10, 4, 36
"c:\laragon\www\telexperticia\database\migrations\2021_03_12_000011_add_foreigns_to_doctor_medical_board_table.php", "PHP", 27, 10, 4, 41
"c:\laragon\www\telexperticia\database\migrations\2021_03_13_030004_create_permission_tables.php", "PHP", 80, 10, 22, 112
"c:\laragon\www\telexperticia\database\migrations\2021_04_22_092922_create_parameters_table.php", "PHP", 38, 10, 8, 56
"c:\laragon\www\telexperticia\database\migrations\2021_04_23_094311_create_records_table.php", "PHP", 75, 10, 7, 92
"c:\laragon\www\telexperticia\database\migrations\2021_04_28_171912_create_active_log.php", "PHP", 23, 11, 4, 38
"c:\laragon\www\telexperticia\database\seeders\DatabaseSeeder.php", "PHP", 25, 6, 4, 35
"c:\laragon\www\telexperticia\database\seeders\DoctorSeeder.php", "PHP", 13, 5, 4, 22
"c:\laragon\www\telexperticia\database\seeders\GeneralSettingsTableSeeder.php", "PHP", 16, 5, 6, 27
"c:\laragon\www\telexperticia\database\seeders\GroupParameterSeeder.php", "PHP", 19, 5, 4, 28
"c:\laragon\www\telexperticia\database\seeders\MedicalBoardSeeder.php", "PHP", 25, 5, 6, 36
"c:\laragon\www\telexperticia\database\seeders\ParameterSeeder.php", "PHP", 34, 5, 4, 43
"c:\laragon\www\telexperticia\database\seeders\PatientSeeder.php", "PHP", 13, 5, 4, 22
"c:\laragon\www\telexperticia\database\seeders\PermissionsSeeder.php", "PHP", 65, 5, 17, 87
"c:\laragon\www\telexperticia\database\seeders\ReportSeeder.php", "PHP", 13, 5, 4, 22
"c:\laragon\www\telexperticia\database\seeders\SpecialtySeeder.php", "PHP", 31, 5, 4, 40
"c:\laragon\www\telexperticia\database\seeders\UserSeeder.php", "PHP", 13, 5, 4, 22
"Total", "-", 1032, 339, 206, 1577
