"filename", "language", "SCSS", "PHP", "JavaScript", "HTML", "JSON", "vue", "comment", "blank", "total"
"c:\laragon\www\telexperticia\resources\js\app.js", "JavaScript", 0, 0, 1, 0, 0, 0, 5, 3, 9
"c:\laragon\www\telexperticia\resources\js\bootstrap.js", "JavaScript", 0, 0, 8, 0, 0, 0, 23, 11, 42
"c:\laragon\www\telexperticia\resources\js\components\ExampleComponent.vue", "vue", 0, 0, 0, 0, 0, 21, 0, 3, 24
"c:\laragon\www\telexperticia\resources\js\components\MultiSelect.vue", "vue", 0, 0, 0, 0, 0, 47, 0, 2, 49
"c:\laragon\www\telexperticia\resources\lang\en\auth.php", "PHP", 0, 6, 0, 0, 0, 0, 10, 5, 21
"c:\laragon\www\telexperticia\resources\lang\en\crud.php", "PHP", 0, 169, 0, 0, 0, 0, 0, 15, 184
"c:\laragon\www\telexperticia\resources\lang\en\pagination.php", "PHP", 0, 5, 0, 0, 0, 0, 10, 5, 20
"c:\laragon\www\telexperticia\resources\lang\en\passwords.php", "PHP", 0, 8, 0, 0, 0, 0, 10, 5, 23
"c:\laragon\www\telexperticia\resources\lang\en\validation.php", "PHP", 0, 116, 0, 0, 0, 0, 30, 9, 155
"c:\laragon\www\telexperticia\resources\lang\es.json", "JSON", 0, 0, 0, 0, 79, 0, 0, 1, 80
"c:\laragon\www\telexperticia\resources\lang\es\auth.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 2, 8
"c:\laragon\www\telexperticia\resources\lang\es\pagination.php", "PHP", 0, 5, 0, 0, 0, 0, 10, 5, 20
"c:\laragon\www\telexperticia\resources\lang\es\passwords.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\laragon\www\telexperticia\resources\lang\es\validation-inline.php", "PHP", 0, 119, 0, 0, 0, 0, 0, 2, 121
"c:\laragon\www\telexperticia\resources\lang\es\validation.php", "PHP", 0, 161, 0, 0, 0, 0, 0, 2, 163
"c:\laragon\www\telexperticia\resources\sass\_background.scss", "SCSS", 10, 0, 0, 0, 0, 0, 0, 1, 11
"c:\laragon\www\telexperticia\resources\sass\_custom.scss", "SCSS", 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\laragon\www\telexperticia\resources\sass\_demo.scss", "SCSS", 172, 0, 0, 0, 0, 0, 1, 6, 179
"c:\laragon\www\telexperticia\resources\sass\_fonts.scss", "SCSS", 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\laragon\www\telexperticia\resources\sass\_footer.scss", "SCSS", 29, 0, 0, 0, 0, 0, 1, 2, 32
"c:\laragon\www\telexperticia\resources\sass\_functions.scss", "SCSS", 3, 0, 0, 0, 0, 0, 1, 0, 4
"c:\laragon\www\telexperticia\resources\sass\_horizontal-wrapper.scss", "SCSS", 48, 0, 0, 0, 0, 0, 0, 1, 49
"c:\laragon\www\telexperticia\resources\sass\_misc.scss", "SCSS", 28, 0, 0, 0, 0, 0, 1, 6, 35
"c:\laragon\www\telexperticia\resources\sass\_navbar.scss", "SCSS", 786, 0, 0, 0, 0, 0, 0, 28, 814
"c:\laragon\www\telexperticia\resources\sass\_reset.scss", "SCSS", 127, 0, 0, 0, 0, 0, 1, 14, 142
"c:\laragon\www\telexperticia\resources\sass\_spinner.scss", "SCSS", 80, 0, 0, 0, 0, 0, 0, 0, 80
"c:\laragon\www\telexperticia\resources\sass\_typography.scss", "SCSS", 110, 0, 0, 0, 0, 0, 3, 6, 119
"c:\laragon\www\telexperticia\resources\sass\_utilities.scss", "SCSS", 225, 0, 0, 0, 0, 0, 4, 34, 263
"c:\laragon\www\telexperticia\resources\sass\_variables.scss", "SCSS", 14, 0, 0, 0, 0, 0, 3, 3, 20
"c:\laragon\www\telexperticia\resources\sass\app.scss", "SCSS", 3, 0, 0, 0, 0, 0, 3, 3, 9
"c:\laragon\www\telexperticia\resources\sass\components\_accordions.scss", "SCSS", 58, 0, 0, 0, 0, 0, 1, 1, 60
"c:\laragon\www\telexperticia\resources\sass\components\_auth.scss", "SCSS", 7, 0, 0, 0, 0, 0, 0, 0, 7
"c:\laragon\www\telexperticia\resources\sass\components\_badges.scss", "SCSS", 8, 0, 0, 0, 0, 0, 3, 1, 12
"c:\laragon\www\telexperticia\resources\sass\components\_bootstrap-alert.scss", "SCSS", 30, 0, 0, 0, 0, 0, 1, 4, 35
"c:\laragon\www\telexperticia\resources\sass\components\_breadcrumbs.scss", "SCSS", 41, 0, 0, 0, 0, 0, 1, 2, 44
"c:\laragon\www\telexperticia\resources\sass\components\_buttons.scss", "SCSS", 164, 0, 0, 0, 0, 0, 9, 16, 189
"c:\laragon\www\telexperticia\resources\sass\components\_cards.scss", "SCSS", 90, 0, 0, 0, 0, 0, 1, 8, 99
"c:\laragon\www\telexperticia\resources\sass\components\_chat.scss", "SCSS", 251, 0, 0, 0, 0, 0, 0, 1, 252
"c:\laragon\www\telexperticia\resources\sass\components\_checkbox-radio.scss", "SCSS", 228, 0, 0, 0, 0, 0, 1, 14, 243
"c:\laragon\www\telexperticia\resources\sass\components\_dashboard.scss", "SCSS", 53, 0, 0, 0, 0, 0, 1, 3, 57
"c:\laragon\www\telexperticia\resources\sass\components\_dropdown.scss", "SCSS", 58, 0, 0, 0, 0, 0, 1, 3, 62
"c:\laragon\www\telexperticia\resources\sass\components\_faq.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\laragon\www\telexperticia\resources\sass\components\_forms.scss", "SCSS", 58, 0, 0, 0, 0, 0, 1, 4, 63
"c:\laragon\www\telexperticia\resources\sass\components\_icons.scss", "SCSS", 67, 0, 0, 0, 0, 0, 1, 11, 79
"c:\laragon\www\telexperticia\resources\sass\components\_input-group.scss", "SCSS", 19, 0, 0, 0, 0, 0, 0, 0, 19
"c:\laragon\www\telexperticia\resources\sass\components\_list-group.scss", "SCSS", 5, 0, 0, 0, 0, 0, 0, 0, 5
"c:\laragon\www\telexperticia\resources\sass\components\_modal.scss", "SCSS", 15, 0, 0, 0, 0, 0, 1, 1, 17
"c:\laragon\www\telexperticia\resources\sass\components\_nav.scss", "SCSS", 62, 0, 0, 0, 0, 0, 0, 0, 62
"c:\laragon\www\telexperticia\resources\sass\components\_pagination.scss", "SCSS", 58, 0, 0, 0, 0, 0, 0, 1, 59
"c:\laragon\www\telexperticia\resources\sass\components\_popover.scss", "SCSS", 8, 0, 0, 0, 0, 0, 0, 0, 8
"c:\laragon\www\telexperticia\resources\sass\components\_profile.scss", "SCSS", 145, 0, 0, 0, 0, 0, 2, 1, 148
"c:\laragon\www\telexperticia\resources\sass\components\_tables.scss", "SCSS", 53, 0, 0, 0, 0, 0, 1, 2, 56
"c:\laragon\www\telexperticia\resources\sass\components\_timeline.scss", "SCSS", 94, 0, 0, 0, 0, 0, 0, 9, 103
"c:\laragon\www\telexperticia\resources\sass\components\email\_email-compose.scss", "SCSS", 90, 0, 0, 0, 0, 0, 0, 7, 97
"c:\laragon\www\telexperticia\resources\sass\components\email\_email-read.scss", "SCSS", 158, 0, 0, 0, 0, 0, 0, 6, 164
"c:\laragon\www\telexperticia\resources\sass\components\email\_inbox.scss", "SCSS", 358, 0, 0, 0, 0, 0, 1, 3, 362
"c:\laragon\www\telexperticia\resources\sass\components\plugin-overrides\_ace.scss", "SCSS", 9, 0, 0, 0, 0, 0, 1, 1, 11
"c:\laragon\www\telexperticia\resources\sass\components\plugin-overrides\_apex-charts.scss", "SCSS", 12, 0, 0, 0, 0, 0, 0, 1, 13
"c:\laragon\www\telexperticia\resources\sass\components\plugin-overrides\_bootstrap-datepicker.scss", "SCSS", 177, 0, 0, 0, 0, 0, 1, 23, 201
"c:\laragon\www\telexperticia\resources\sass\components\plugin-overrides\_data-tables.scss", "SCSS", 53, 0, 0, 0, 0, 0, 0, 1, 54
"c:\laragon\www\telexperticia\resources\sass\components\plugin-overrides\_dropify.scss", "SCSS", 14, 0, 0, 0, 0, 0, 0, 0, 14
"c:\laragon\www\telexperticia\resources\sass\components\plugin-overrides\_dropzone.scss", "SCSS", 17, 0, 0, 0, 0, 0, 0, 0, 17
